1.98, 1.98, 2.03, 2.00, 2.00
1.96, 1.99, 1.98, 1.99, 1.99
1.99, 1.99, 2.01, 1.96, 2.01
2.02, 2.00, 1.99, 2.01, 2.00
2.00, 1.99, 2.00, 1.98, 1.99
1.98, 2.00, 2.00, 2.00, 1.99
1.99, 1.99, 1.99, 2.01, 1.99
1.98, 1.97, 2.00, 2.00, 2.00
1.98, 2.02, 2.00, 2.00, 2.01
2.01, 1.99, 1.98, 2.02, 2.00
1.99, 1.98, 2.00, 2.00, 1.98
1.98, 1.99, 1.98, 2.00, 2.00
2.04, 2.00, 2.01, 1.97, 2.02
1.97, 1.99, 2.00, 1.98, 2.03
1.98, 2.02, 2.00, 1.98, 1.98
1.99, 2.03, 2.01, 2.03, 2.00
1.97, 1.99, 2.00, 2.03, 2.03
2.01, 1.99, 1.99, 2.00, 1.96
1.98, 2.00, 2.01, 2.01, 2.03
2.01, 1.98, 2.00, 2.02, 1.98
